id,n,log2(n),log3(n),log4(n)
845,845,9.72,6.13,4.86
846,846,9.72,6.14,4.86
847,847,9.73,6.14,4.86
848,848,9.73,6.14,4.86
849,849,9.73,6.14,4.86
850,850,9.73,6.14,4.87
851,851,9.73,6.14,4.87
852,852,9.73,6.14,4.87
853,853,9.74,6.14,4.87
854,854,9.74,6.14,4.87
855,855,9.74,6.15,4.87
856,856,9.74,6.15,4.87
857,857,9.74,6.15,4.87
858,858,9.74,6.15,4.87
859,859,9.75,6.15,4.87
860,860,9.75,6.15,4.87
861,861,9.75,6.15,4.87
862,862,9.75,6.15,4.88
863,863,9.75,6.15,4.88
864,864,9.75,6.15,4.88
865,865,9.76,6.16,4.88
866,866,9.76,6.16,4.88
